program,skolkod,andel_minst_e_sam1
Nationella program,88834120,"100,0"
Nationella program,70066748,"97,4"
Nationella program,19207279,"100,0"
Nationella program,53640774,"99,2"
Nationella program,58502307,"96,7"
Nationella program,97177328,"98,0"
Nationella program,72127035,"100,0"
Nationella program,70969714,"100,0"
Nationella program,85003442,"100,0"
Nationella program,22752398,"92,5"
Nationella program,68734112,"100,0"
Nationella program,71922787,"98,1"
Nationella program,31843016,"97,1"
Nationella program,74148070,"100,0"
Nationella program,50696507,"100,0"
Nationella program,92507006,"99,0"
Nationella program,44653962,"95,5"
Nationella program,20100577,"100,0"
Nationella program,81993306,"98,9"
Nationella program,19051089,"100,0"
Nationella program,29097621,"85,5"
Nationella program,47264019,"98,4"
Nationella program,87764775,"94,4"
Nationella program,50198492,"100,0"
Nationella program,48438396,"82,9"
Nationella program,98052678,"96,4"
Nationella program,20099064,"93,8"
Nationella program,44341171,"82,8"
Nationella program,32671805,"95,7"
Nationella program,38448056,"100,0"
Nationella program,16313848,"90,4"
Nationella program,79606767,"98,5"
Nationella program,11294673,"98,1"
Nationella program,86327236,"98,4"
Nationella program,41745951,"100,0"
Nationella program,83137205,"100,0"
Nationella program,28398531,"80,8"
Nationella program,66335258,"96,1"
Nationella program,54172830,"96,6"
Nationella program,86310217,"78,6"
Nationella program,83085136,"98,1"
Nationella program,75458014,"100,0"
Nationella program,65136104,"88,2"
Nationella program,61826221,.
Nationella program,79033948,"95,4"
Nationella program,56330385,"88,5"
Nationella program,20228162,"100,0"
Nationella program,68240485,"100,0"
Nationella program,95046058,"100,0"
Nationella program,44392995,"91,8"
Nationella program,53462953,"98,4"
Nationella program,69241230,"95,7"
Nationella program,60730660,"100,0"
Nationella program,85544331,"100,0"
Nationella program,80327946,"93,8"
Nationella program,82592568,"100,0"
Nationella program,78875918,"98,6"
Nationella program,78023197,"97,8"
Nationella program,86385479,"100,0"
Nationella program,40991561,..
Nationella program,49862313,"98,1"
Nationella program,99838438,"98,6"
